postcode,lat,long
BT100AH,54.562519,-5.976259
BT100BH,54.562393,-5.980533
BT100BJ,54.557503,-5.987438
BT100DF,54.556653,-5.981698
BT100FH,54.559511,-5.983937
BT100FL,54.554661,-5.98243
BT100HN,54.562608,-5.983738
BT100JE,54.566981,-5.990589
BT100LE,54.556466,-5.987721
BT100NE,54.553717,-5.994781
BT100PA,54.552416,-5.977641
BT100PH,54.55786,-5.987265
BT118EJ,54.58676,-5.992415
BT118EQ,54.591879,-5.989533
BT118GP,54.57771,-5.98525
BT118HU,54.5796,-5.991391
BT118NX,54.585737,-5.987082
BT118QX,54.57778,-6.009592
BT119DW,54.571878,-6.011797
BT119HN,54.573006,-6.015423
BT119JG,54.573149,-6.009864
BT119RB,54.571601,-6.020688
BT11GH,54.599362,-5.932432
BT11GW,54.599284,-5.934153
BT124AF,54.598197,-5.938417
BT124DG,54.598894,-5.945563
BT124GS,54.595782,-5.939592
BT124NN,54.597154,-5.952614
BT124PB,54.598682,-5.951067
BT124RJ,54.59847,-5.943371
BT124RP,54.599084,-5.943557
BT125DD,54.593213,-5.938035
BT125EG,54.594439,-5.935061
BT125GE,54.591266,-5.937194
BT125GH,54.592444,-5.940364
BT125JL,54.589288,-5.938651
BT125JP,54.588916,-5.939985
BT125LA,54.591901,-5.942774
BT125QZ,54.593458,-5.94873
BT125RA,54.594613,-5.947434
BT125WB,54.590875,-5.94691
BT126AD,54.594979,-5.956344
BT126BB,54.593774,-5.954161
BT126GD,54.590841,-5.950208
BT126GY,54.589834,-5.955457
BT126HH,54.577601,-5.961607
BT127BT,54.598455,-5.95942
BT127EH,54.596448,-5.977455
BT127EW,54.60131,-5.964105
BT127RB,54.593781,-5.973223
BT127RE,54.593038,-5.973926
BT12GQ,54.602094,-5.929322
BT12JB,54.603436,-5.932658
BT12PQ,54.602285,-5.925799
BT131DX,54.604165,-5.941165
BT131EF,54.605499,-5.947722
BT131GB,54.608072,-5.946354
BT131NA,54.609291,-5.94832
BT132BD,54.603646,-5.945494
BT132ED,54.602574,-5.941632
BT132GN,54.601739,-5.936381
BT132JB,54.600138,-5.949084
BT133AN,54.610928,-5.958486
BT133BH,54.603413,-5.958831
BT133HE,54.60945,-5.958219
BT133LP,54.611031,-5.964084
BT133NJ,54.600903,-5.985977
BT133NN,54.609794,-5.979811
BT133PQ,54.608237,-5.978557
BT133RY,54.601624,-5.977492
BT133SF,54.615694,-5.978528
BT133SR,54.616325,-5.980834
BT133SU,54.613784,-5.978205
BT133SY,54.61443,-5.980851
BT133TT,54.600388,-5.97825
BT133TY,54.598838,-5.976887
BT133YA,54.608876,-5.986172
BT13DS,54.604636,-5.917679
BT13EE,54.604612,-5.920557
BT13ES,54.600813,-5.923854
BT13FF,54.600704,-5.923712
BT13GE,54.602113,-5.924647
BT13NL,54.599222,-5.923747
BT146AU,54.607999,-5.936807
BT146GA,54.612503,-5.946967
BT146JH,54.618586,-5.944338
BT146JL,54.614795,-5.93908
BT146NR,54.62332,-5.955387
BT146PX,54.611512,-5.947357
BT146QB,54.614803,-5.950164
BT146RD,54.628209,-5.964527
BT147AY,54.647565,-6.003764
BT147DE,54.615389,-5.951296
BT147DX,54.610346,-5.949552
BT147EP,54.612581,-5.95904
BT147PS,54.620011,-5.962149
BT147RW,54.620296,-5.961469
BT147WB,54.613617,-5.96185
BT148AB,54.623643,-5.975687
BT148AW,54.623433,-5.974954
BT148DR,54.623599,-5.976262
BT148DY,54.627864,-5.988335
BT148QG,54.625884,-5.981847
BT14FJ,54.59791,-5.926787
BT151EE,54.609007,-5.919575
BT151FB,54.611414,-5.924204
BT152AG,54.610002,-5.936211
BT152AJ,54.613159,-5.936392
BT152FW,54.612105,-5.930485
BT152GE,54.614162,-5.934081
BT152GG,54.61157,-5.928097
BT152JE,54.613549,-5.930319
BT152JP,54.624898,-5.934558
BT152JT,54.613881,-5.929729
BT152JY,54.612929,-5.932905
BT153AH,54.615886,-5.929844
BT153BH,54.618356,-5.935556
BT153BS,54.624228,-5.937968
BT153GX,54.616864,-5.923989
BT153HL,54.615905,-5.922536
BT153HN,54.616658,-5.922977
BT153JL,54.622076,-5.922469
BT153LH,54.626875,-5.934613
BT153QD,54.623545,-5.932741
BT154DF,54.629784,-5.936587
BT154DT,54.634146,-5.935762
BT154DU,54.642915,-5.935209
BT154GL,54.639782,-5.925903
BT154HJ,54.640229,-5.923665
BT154HT,54.64417,-5.923991
BT154JT,54.638662,-5.921933
BT155AD,54.634931,-5.943343
BT155DN,54.628272,-5.941697
BT155GA,54.625147,-5.938649
BT15AT,54.598761,-5.929847
BT160AG,54.592418,-5.809479
